voltage,current,sound,gas,temp,hum,heading,tahmin,durum
5.0,13.514,1011.0,1023.0,23.8,55.0,291.1522458498074,1,NORMAL
5.0,13.514,1023.0,1023.0,22.1,61.0,228.07411448894769,1,NORMAL
5.0,13.514,1023.0,1023.0,22.2,61.0,228.93017554572543,1,NORMAL
5.0,13.514,1023.0,1023.0,22.7,58.0,229.68018896468536,1,NORMAL
5.0,13.514,1023.0,1023.0,22.7,55.0,233.49130027694645,1,NORMAL
5.0,13.514,1004.0,1023.0,23.1,55.0,224.04029156343267,1,NORMAL
5.0,13.514,1023.0,1023.0,22.4,61.0,229.43612503804775,1,NORMAL
5.0,13.514,1023.0,1023.0,23.4,53.0,237.8458183915936,1,NORMAL
5.0,13.514,1017.0,1023.0,23.2,53.0,237.09089435339405,1,NORMAL
5.0,13.514,995.0,1023.0,24.2,53.0,230.0694201326125,1,NORMAL
5.0,13.514,1012.0,1023.0,23.9,53.0,228.39133941979637,1,NORMAL
5.0,13.514,1019.0,1023.0,24.0,54.0,228.81407483429035,1,NORMAL
5.0,13.514,1016.0,1023.0,22.6,59.0,229.64797069138703,1,NORMAL
5.0,13.514,1013.0,1023.0,24.1,56.0,228.00389685649105,1,NORMAL
5.0,13.514,1012.0,1023.0,22.7,56.0,225.51003797696663,1,NORMAL
5.0,13.514,1002.0,1023.0,24.1,53.0,228.89282413804872,1,NORMAL
5.0,13.514,1010.0,1023.0,22.6,60.0,224.34801358247563,1,NORMAL
5.0,13.514,1023.0,1023.0,22.1,62.0,228.69391426195543,1,NORMAL
5.0,13.514,1020.0,1023.0,23.4,54.0,282.0133443944909,1,NORMAL
5.0,13.514,1023.0,1023.0,22.7,58.0,229.38526510670508,1,NORMAL
5.0,13.514,1023.0,1023.0,22.5,60.0,230.02458864778097,1,NORMAL
5.0,13.514,1015.0,1023.0,23.8,53.0,229.08868056156183,1,NORMAL
5.0,13.514,1022.0,1023.0,22.5,60.0,230.8669444176359,1,NORMAL
2.9903242453190924,13.514,1004.0,1023.0,22.5,59.0,228.22997018164813,1,NORMAL
5.0,13.514,1010.0,1023.0,23.6,54.0,245.1363034282481,1,NORMAL
5.0,13.514,1021.0,1023.0,23.3,54.0,281.275059818854,1,NORMAL
5.0,13.514,1023.0,1023.0,22.3,61.0,228.81959412716537,1,NORMAL
5.0,13.514,1023.0,1023.0,22.7,59.0,229.82725790465497,1,NORMAL
5.0,13.514,1012.0,1023.0,22.6,55.0,226.30290755449323,1,NORMAL
5.0,13.514,1023.0,1023.0,23.2,54.0,240.55768601753056,1,NORMAL
5.0,13.514,1007.0,1023.0,23.4,54.0,240.89459534975197,1,NORMAL
5.0,13.514,1023.0,1023.0,22.7,60.0,230.34571563715284,1,NORMAL
5.0,13.514,1023.0,1023.0,22.7,59.0,229.7138749261489,1,NORMAL
5.0,13.514,1023.0,1023.0,22.4,61.0,230.4403320310055,1,NORMAL
5.0,13.514,1020.0,1023.0,23.6,54.0,245.48155454062643,1,NORMAL
5.0,13.514,1016.0,1023.0,23.4,55.0,240.88057355075256,1,NORMAL
5.0,13.514,1023.0,1023.0,22.2,61.0,229.46779692144503,1,NORMAL
5.0,13.514,1005.0,1023.0,23.3,51.0,224.4179148648096,1,NORMAL
5.0,13.514,1015.0,1023.0,23.9,54.0,228.68719963660757,1,NORMAL
